t,value
1500463006,349214
1500463016,350438
1500463025,351679
1500463035,352927
1500463045,353953
1500463055,354952
1500463064,356154
1500463074,357370
1500463084,358929
1500463094,359978
1500463103,361371
1500463113,362791
1500463123,363883
1500463133,365129
1500463142,366575
1500463152,367315
1500463162,368612
1500463172,369812
1500463182,371001
1500463191,372315
1500463201,373709
1500463211,374904
1500463221,375895
1500463230,377624
1500463240,378898
1500463250,380064
1500463260,381237
1500463269,382301
1500463279,383439
1500463289,384614
1500463299,385705
1500463308,386953
1500463318,388079
1500463328,388988
1500463338,390566
1500463347,391718
1500463357,392869
1500463367,394246
1500463377,395447
1500463386,396577
1500463396,397717
1500463406,399172
1500463416,400297
1500463426,401500
1500463435,402897
1500463445,403905
1500463455,405001
1500463465,406345
1500463474,407567
1500463484,408893
1500463494,410074
1500463504,411408
1500463513,412560
1500463523,413549
1500463533,414893
1500463543,416351
1500463552,417506
1500463562,418765
1500463572,419982
1500463582,421002
1500463591,422208
1500463601,423250
1500463611,424223
1500463621,425663
1500463630,426871
1500463640,428191
1500463650,429483
1500463660,431085
1500463669,432501
1500463679,433655
1500463689,434968
1500463699,436062
1500463709,437185
1500463718,438458
1500463728,439843
1500463738,441083
1500463748,442279
1500463757,443328
1500463767,444689
1500463777,445826
1500463787,446864
1500463796,447952
1500463806,449141
1500463816,450372
1500463826,451522
1500463835,452835
1500463845,454185
1500463855,455362
1500463865,456452
1500463874,457481
1500463884,458273
1500463894,458273
1500463904,458273
1500463913,458273
1500463923,458273
1500463933,458273
