t,count,mean_rate,m1_rate
1500459217,36,0.020293122886133032,0.0
1500459227,36,0.020179372197309416,0.0
1500459236,36,0.020078081427774678,0.0
1500459246,36,0.019966722129783693,0.0
1500459256,36,0.019856591285162713,0.0
1500459266,36,0.019747668678003292,0.0
1500459276,36,0.019639934533551555,0.0
1500459286,36,0.019533369506239826,0.0
1500459295,36,0.019438444924406047,0.0
1500459305,36,0.01933404940923738,0.0
1500459315,36,0.019230769230769232,0.0
1500459325,36,0.019128586609989374,0.0
1500459335,36,0.019027484143763214,0.0
1500459344,36,0.01893740136770121,0.0
1500459354,36,0.018838304552590265,0.0
1500459364,36,0.018740239458615304,0.0
1500459374,36,0.018643190056965304,0.0
1500459384,36,0.01854714064914992,0.0
1500459394,36,0.018452075858534086,0.0
1500459403,36,0.018367346938775512,0.0
1500459413,36,0.018274111675126905,0.0
1500459423,36,0.01818181818181818,0.0
1500459433,36,0.018090452261306532,0.0
1500459443,36,0.018,0.0
1500459452,36,0.017919362867098058,0.0
1500459462,36,0.017830609212481426,0.0
1500459472,36,0.017742730409068506,0.0
1500459482,36,0.01765571358509073,0.0
1500459492,36,0.017569546120058566,0.0
1500459502,36,0.017484215638659543,0.0
1500459511,36,0.017408123791102514,0.0
1500459521,36,0.017324350336862367,0.0
1500459531,36,0.017241379310344827,0.0
1500459541,36,0.017159199237368923,0.0
1500459551,36,0.017077798861480076,0.0
1500459560,36,0.017005196032120924,0.0
1500459570,36,0.01692524682651622,0.0
1500459580,36,0.016846045858680395,0.0
1500459590,36,0.016767582673497903,0.0
1500459600,36,0.016689847009735744,0.0
1500459610,36,0.01661282879556991,0.0
1500459619,36,0.016544117647058824,0.0
1500459629,36,0.01646843549862763,0.0
1500459639,36,0.01639344262295082,0.0
1500459649,36,0.016319129646418858,0.0
1500459659,36,0.016245487364620937,0.0
1500459668,36,0.016179775280898877,0.0
1500459678,36,0.016107382550335572,0.0
1500459688,36,0.016035634743875277,0.0
1500459698,36,0.015964523281596452,0.0
1500459708,36,0.015894039735099338,0.0
1500459718,36,0.015824175824175824,0.0
1500459727,36,0.01576182136602452,0.0
1500459737,36,0.015693112467306015,0.0
1500459747,36,0.015625,0.0
1500459757,36,0.015557476231633534,0.0
1500459767,36,0.01549053356282272,0.0
1500459776,36,0.015430775825117874,0.0
1500459786,36,0.015364916773367477,0.0
1500459796,36,0.01529961750956226,0.0
1500459806,36,0.01523487092678798,0.0
1500459816,36,0.015170670037926675,0.0
1500459825,36,0.015113350125944584,0.0
1500459835,36,0.015050167224080268,0.0
1500459845,36,0.01498751040799334,0.0
1500459855,36,0.014925373134328358,0.0
1500459865,36,0.01486374896779521,0.0
1500459874,36,0.014808720691073632,0.0
1500459884,36,0.014748054076198279,0.0
